Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Alabama,2023,1,4840,4429,106.0,825.0,104.0,189.0,94.0,271.0,91.0,112.0,69.0,1190.0,240.0,233.0,179.0
Alabama,2023,2,4806,4403,92.0,851.0,130.0,190.0,65.0,260.0,79.0,115.0,76.0,1187.0,247.0,173.0,133.0
Alabama,2023,3,4441,4022,79.0,777.0,108.0,160.0,80.0,259.0,89.0,99.0,82.0,1097.0,227.0,93.0,64.0
Alabama,2023,4,5493,5007,101.0,987.0,137.0,222.0,63.0,299.0,120.0,130.0,103.0,1352.0,284.0,88.0,45.0
Alabama,2023,5,4420,4002,81.0,820.0,101.0,163.0,69.0,212.0,85.0,96.0,97.0,1102.0,234.0,54.0,23.0
Alabama,2023,6,4140,3767,79.0,736.0,96.0,176.0,66.0,197.0,91.0,86.0,123.0,1016.0,217.0,10.0,0.0
Alabama,2023,7,5216,4838,107.0,1011.0,132.0,200.0,56.0,281.0,119.0,125.0,196.0,1225.0,283.0,38.0,0.0
Alabama,2023,8,4032,3814,72.0,750.0,93.0,163.0,55.0,210.0,83.0,76.0,139.0,985.0,260.0,74.0,41.0
Alabama,2023,9,2205,2168,43.0,434.0,36.0,98.0,25.0,128.0,45.0,28.0,75.0,552.0,107.0,61.0,52.0
Alaska,2023,1,446,373,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,0.0,0.0
Alaska,2023,2,432,359,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0
Alaska,2023,3,393,334,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0
Alaska,2023,4,513,424,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0
Alaska,2023,5,378,299,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
