Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/27/2023,United States,2020,1,2020-01-04,60179,55010,843,11567,1829,2537,1559,3501,1068,1094,630,14204,3110,0,0,,,,,,,,,,,,,,,
09/27/2023,United States,2020,2,2020-01-11,60735,55755,861,11963,1942,2566,1528,3708,1035,1092,649,13911,3189,1,1,,,,,,,,,,,,,,,
09/27/2023,United States,2020,3,2020-01-18,59363,54516,829,11701,1819,2491,1484,3526,992,1121,612,13593,3256,2,1,,,,,,,,,,,,,,,
09/27/2023,United States,2020,4,2020-01-25,59162,54401,828,11879,1864,2517,1488,3403,979,1107,638,13612,3185,3,2,,,,,,,,,,,,,,,
09/27/2023,United States,2020,5,2020-02-01,58834,54001,811,11963,1828,2480,1411,3313,981,1074,616,13465,3084,0,0,,,,,,,,,,,,,,,
09/27/2023,United States,2020,6,2020-02-08,59491,54416,806,11704,1957,2515,1463,3413,975,1135,600,14005,3056,4,3,,,,,,,,,,,,,,,
09/27/2023,United States,2020,7,2020-02-15,58815,53969,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6,2,,,,,,,,,,,,,,,
09/27/2023,United States,2020,8,2020-02-22,58912,53987,779,11780,1880,2515,1462,3454,968,1059,608,13632,3083,6,6,,,,,,,,,,,,,,,
09/27/2023,United States,2020,9,2020-02-29,59334,54316,814,11790,1831,2519,1508,3460,1011,1092,676,13714,3126,9,9,,,,,,,,,,,,,,,
09/27/2023,United States,2020,10,2020-03-07,59716,54401,811,11712,1868,2511,1608,3471,1002,1071,655,13693,3097,38,34,,,,,,,,,,,,,,,
