,Jurisdiction of Occurrence,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
0,United States,2023-01-07,20.64,18.76,0.3,3.57,0.66,0.76,0.53,1.01,0.32,0.38,0.26,4.49,1.05,1.16,0.81,334914895
1,United States,2023-01-14,19.85,18.12,0.28,3.54,0.61,0.76,0.43,1.01,0.32,0.34,0.24,4.34,1.01,1.1,0.76,334914895
2,United States,2023-01-21,19.21,17.5,0.26,3.58,0.57,0.73,0.36,0.93,0.34,0.34,0.25,4.19,0.98,0.97,0.63,334914895
3,United States,2023-01-28,18.67,17.04,0.27,3.49,0.57,0.71,0.34,0.9,0.31,0.34,0.24,4.12,0.98,0.87,0.57,334914895
4,United States,2023-02-04,18.77,17.06,0.25,3.54,0.61,0.68,0.29,0.9,0.3,0.34,0.26,4.14,0.99,0.79,0.5,334914895
5,United States,2023-02-11,18.8,17.07,0.26,3.58,0.59,0.72,0.29,0.92,0.3,0.34,0.26,4.13,0.98,0.7,0.47,334914895
6,United States,2023-02-18,18.47,16.8,0.25,3.51,0.59,0.7,0.28,0.9,0.31,0.33,0.25,4.17,0.97,0.63,0.4,334914895
7,United States,2023-02-25,18.55,16.83,0.24,3.6,0.58,0.68,0.26,0.88,0.29,0.34,0.27,4.13,0.95,0.64,0.41,334914895
8,United States,2023-03-04,18.34,16.64,0.25,3.49,0.58,0.66,0.25,0.91,0.31,0.32,0.28,4.06,0.94,0.59,0.39,334914895
9,United States,2023-03-11,18.15,16.47,0.26,3.5,0.55,0.65,0.26,0.88,0.3,0.31,0.3,4.03,0.95,0.55,0.35,334914895
10,United States,2023-03-18,18.25,16.61,0.25,3.55,0.56,0.65,0.26,0.89,0.31,0.35,0.27,4.1,0.94,0.53,0.32,334914895
11,United States,2023-03-25,18.15,16.49,0.25,3.52,0.58,0.65,0.28,0.86,0.29,0.35,0.29,4.06,0.96,0.5,0.32,334914895
12,United States,2023-04-01,17.97,16.27,0.24,3.43,0.57,0.69,0.24,0.91,0.29,0.32,0.32,3.99,0.93,0.43,0.27,334914895
13,United States,2023-04-08,17.63,15.92,0.24,3.46,0.55,0.62,0.26,0.85,0.29,0.32,0.32,3.92,0.93,0.41,0.25,334914895
14,United States,2023-04-15,17.81,16.09,0.24,3.46,0.57,0.64,0.24,0.89,0.3,0.31,0.33,3.97,0.92,0.36,0.23,334914895
15,United States,2023-04-22,17.45,15.8,0.24,3.39,0.53,0.63,0.25,0.86,0.29,0.32,0.32,3.88,0.92,0.36,0.22,334914895
16,United States,2023-04-29,17.25,15.68,0.24,3.49,0.53,0.64,0.23,0.86,0.28,0.3,0.33,3.75,0.94,0.3,0.19,334914895
17,United States,2023-05-06,17.32,15.64,0.23,3.49,0.56,0.6,0.23,0.82,0.28,0.31,0.37,3.82,0.91,0.28,0.17,334914895
18,United States,2023-05-13,17.26,15.6,0.22,3.49,0.53,0.64,0.24,0.83,0.29,0.32,0.37,3.77,0.93,0.25,0.15,334914895
19,United States,2023-05-20,16.9,15.31,0.23,3.41,0.51,0.6,0.22,0.77,0.29,0.31,0.37,3.72,0.9,0.23,0.13,334914895
20,United States,2023-05-27,16.63,15.08,0.22,3.44,0.49,0.57,0.24,0.8,0.27,0.31,0.39,3.63,0.88,0.22,0.13,334914895
21,United States,2023-06-03,16.94,15.28,0.22,3.43,0.5,0.61,0.23,0.79,0.27,0.31,0.41,3.73,0.89,0.21,0.12,334914895
22,United States,2023-06-10,16.78,15.2,0.23,3.47,0.51,0.57,0.23,0.78,0.27,0.31,0.45,3.67,0.87,0.19,0.11,334914895
23,United States,2023-06-17,16.76,15.25,0.22,3.53,0.49,0.61,0.21,0.78,0.26,0.31,0.47,3.66,0.87,0.18,0.11,334914895
24,United States,2023-06-24,16.61,15.11,0.22,3.43,0.51,0.62,0.21,0.76,0.26,0.29,0.51,3.63,0.89,0.17,0.1,334914895
25,United States,2023-07-01,16.56,15.11,0.22,3.43,0.49,0.6,0.21,0.78,0.27,0.29,0.6,3.59,0.85,0.16,0.1,334914895
26,United States,2023-07-08,16.62,15.06,0.21,3.46,0.51,0.58,0.2,0.74,0.25,0.29,0.67,3.65,0.86,0.14,0.08,334914895
27,United States,2023-07-15,16.47,15.1,0.24,3.46,0.5,0.58,0.19,0.76,0.26,0.27,0.71,3.52,0.86,0.15,0.09,334914895
28,United States,2023-07-22,16.47,15.12,0.21,3.46,0.49,0.59,0.19,0.73,0.26,0.28,0.79,3.49,0.86,0.16,0.1,334914895
29,United States,2023-07-29,16.42,15.16,0.22,3.49,0.49,0.59,0.2,0.73,0.26,0.3,0.85,3.42,0.85,0.16,0.1,334914895
30,United States,2023-08-05,16.45,15.27,0.21,3.45,0.47,0.61,0.19,0.74,0.27,0.29,0.95,3.44,0.86,0.2,0.13,334914895
31,United States,2023-08-12,16.51,15.41,0.22,3.51,0.47,0.6,0.2,0.73,0.26,0.3,1.02,3.43,0.9,0.22,0.15,334914895
32,United States,2023-08-19,16.26,15.26,0.22,3.44,0.49,0.61,0.17,0.72,0.28,0.28,1.03,3.4,0.87,0.26,0.17,334914895
33,United States,2023-08-26,15.79,14.93,0.2,3.45,0.47,0.6,0.19,0.7,0.26,0.27,1.03,3.24,0.83,0.3,0.21,334914895
34,United States,2023-09-02,15.17,14.53,0.21,3.29,0.42,0.57,0.18,0.67,0.25,0.27,1.06,3.21,0.8,0.32,0.22,334914895
35,United States,2023-09-09,14.1,13.76,0.18,3.09,0.4,0.58,0.18,0.66,0.22,0.25,1.01,3.01,0.78,0.33,0.23,334914895
