Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Alabama,2023,1,94.75,86.7,2.07,16.15,2.04,3.6999999999999997,1.84,5.3,1.78,2.2,1.3399999999999999,23.3,4.7,4.5600000000000005,3.5,20433872
Alabama,2023,2,94.08,86.19,1.8,16.66,2.55,3.72,1.27,5.1000000000000005,1.54,2.26,1.48,23.240000000000002,4.84,3.39,2.61,20433872
Alabama,2023,3,86.94,78.74,1.54,15.21,2.12,3.13,1.56,5.0600000000000005,1.74,1.93,1.6,21.47,4.45,1.8199999999999998,1.24,20433872
Alabama,2023,4,107.53999999999999,98.01,1.97,19.32,2.69,4.34,1.22,5.85,2.35,2.55,2.01,26.46,5.56,1.71,0.87,25542340
Alabama,2023,5,86.53,78.34,1.59,16.05,1.98,3.19,1.3399999999999999,4.15,1.66,1.88,1.9,21.57,4.58,1.05,0.45,20433872
Alabama,2023,6,81.05000000000001,73.73,1.54,14.41,1.88,3.44,1.28,3.85,1.78,1.68,2.41,19.89,4.25,0.2,0.0,20433872
Alabama,2023,7,102.11,94.7,2.09,19.79,2.59,3.91,1.0899999999999999,5.5,2.33,2.45,3.83,23.99,5.550000000000001,0.74,0.0,25542340
Alabama,2023,8,78.92999999999999,74.67,1.4,14.68,1.8199999999999998,3.1799999999999997,1.07,4.12,1.6199999999999999,1.48,2.7199999999999998,19.29,5.08,1.44,0.79,20433872
Alabama,2023,9,43.17,42.44,0.84,8.5,0.7,1.92,0.48,2.51,0.88,0.54,1.4700000000000002,10.8,2.1,1.19,1.01,15325404
Alaska,2023,1,60.81,50.86,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.370000000000001,1.36,0.0,0.0,2933624
Alaska,2023,2,58.91,48.94,0.0,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0,2933624
Alaska,2023,3,53.59,45.54,0.0,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.0,0.0,2933624
Alaska,2023,4,69.94,57.82,0.0,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81,0.0,0.0,0.0,3667030
Alaska,2023,5,51.54,40.769999999999996,0.0,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,0.0,0.0,0.0,2933624
Alaska,2023,6,55.5,44.05,0.0,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,0.0,0.0,0.0,2933624
Alaska,2023,7,59.44,48.68,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,0.0,0.0,0.0,3667030
Alaska,2023,8,40.510000000000005,36.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2933624
Alaska,2023,9,14.18,13.64,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200218
Arizona,2023,1,79.49,71.04,0.63,13.59,2.73,3.26,1.44,3.88,1.4100000000000001,1.08,0.72,17.07,4.07,3.1399999999999997,2.14,29725376
Arizona,2023,2,77.66,68.98,0.5700000000000001,13.99,2.6799999999999997,2.9699999999999998,1.0,4.54,1.37,0.75,0.74,17.38,3.61,1.73,1.01,29725376
Arizona,2023,3,75.38,66.62,0.53,13.239999999999998,2.68,3.0,1.05,3.93,1.47,0.96,0.79,16.77,3.59,1.88,1.23,29725376
Arizona,2023,4,95.46,84.24,0.62,17.48,3.42,3.55,1.56,5.53,1.78,1.28,1.08,19.96,3.84,2.06,1.37,37156720
Arizona,2023,5,70.09,61.65,0.52,13.64,2.23,2.9,1.04,3.4699999999999998,1.27,0.8200000000000001,0.8,14.92,2.92,1.47,1.0,29725376
Arizona,2023,6,67.16,58.95,0.35,13.32,2.19,2.4299999999999997,0.8200000000000001,3.04,0.99,0.53,1.19,14.319999999999999,3.04,1.01,0.36,29725376
Arizona,2023,7,90.13,78.41,0.67,16.05,2.98,2.69,0.75,4.25,1.3199999999999998,0.98,6.17,17.37,3.67,1.12,0.5700000000000001,37156720
Arizona,2023,8,66.19,60.33,0.45,13.33,2.05,2.69,0.68,2.96,0.9100000000000001,0.79,6.4399999999999995,12.25,2.96,0.45,0.0,29725376
Arizona,2023,9,42.09,40.620000000000005,0.17,8.46,1.3399999999999999,1.81,0.48,1.8399999999999999,0.79,0.26,4.1899999999999995,8.23,1.99,0.64,0.46,22294032
Arkansas,2023,1,98.09,90.9,1.82,16.5,3.75,4.43,2.02,6.61,1.6,2.35,0.0,22.56,4.96,5.3100000000000005,3.62,12270928
Arkansas,2023,2,93.1,85.93,1.53,17.009999999999998,2.65,3.7800000000000002,1.24,6.8,0.8500000000000001,1.63,0.0,23.009999999999998,4.4,3.22,2.32,12270928
Arkansas,2023,3,89.68,83.25999999999999,1.63,16.17,3.45,3.7800000000000002,1.9200000000000002,6.85,1.1099999999999999,2.12,0.0,20.86,4.89,1.6600000000000001,0.0,12270928
Arkansas,2023,4,108.91,99.19,2.03,20.05,3.9000000000000004,4.43,1.5,7.779999999999999,0.79,1.9900000000000002,0.0,24.41,5.65,1.1099999999999999,0.33,15338660
Arkansas,2023,5,84.53,77.13,1.77,16.27,3.43,3.16,0.72,4.890000000000001,1.21,2.19,0.66,18.92,4.5600000000000005,0.8500000000000001,0.36,12270928
Arkansas,2023,6,81.77,75.84,1.6,15.84,3.53,3.16,0.75,4.76,0.39,0.98,1.93,19.46,3.6100000000000003,0.0,0.0,12270928
Arkansas,2023,7,105.45,99.02,1.31,20.44,4.07,4.800000000000001,1.53,6.5200000000000005,1.14,2.11,4.57,25.27,4.53,0.0,0.0,15338660
Arkansas,2023,8,82.08,76.44,1.01,16.31,2.54,3.39,0.0,4.76,1.3399999999999999,1.95,3.1,19.08,3.97,0.46,0.33,12270928
Arkansas,2023,9,53.66,52.19,0.52,11.74,1.6600000000000001,2.2199999999999998,0.66,3.84,0.0,0.78,1.4300000000000002,13.66,2.58,1.21,0.36,9203196
